onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s006	2	0
10.005	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	1
21.846	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	2
33.692	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	3
45.541	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	4
57.388	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	5
69.238	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	6
81.078	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	7
92.925	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	8
104.75	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	9
116.58	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	10
128.43	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	11
140.27	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	12
152.12	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	13
163.97	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	14
175.81	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	15
187.66	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	16
199.5	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	17
211.35	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	18
223.2	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	19
235.04	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	20
246.89	11.8	coherent	MotionLoc	SAXE_NES2_s006	2	21
258.73	11.8	incoherent	MotionLoc	SAXE_NES2_s006	2	22
