onset	duration	trial_type	response_time	trial_type_specific	trial_type_morespecific	experiment_name	participant	correct	time_elapsed	trial_n	correct_answer	subject_correct	event	identical_tests	stim_ID	scenario_string	domain	task	prop_correct	stim_path
0.0050000000000025	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s027	n/a	46325	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	n/a
10.021	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-19_fam	VOE_Exp2	SAXE_NES2_s027	n/a	53841	1.0	n/a	n/a	fam	no	63.0	trial-19	both	agent-solidity	1	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/fam.mp4
17.787	7.5	both_unexp	n/a	both_agent-solidity_unexp	both_agent-solidity_trial-19_unexp	VOE_Exp2	SAXE_NES2_s027	n/a	61607	1.0	n/a	n/a	unexp	no	63.0	trial-19	both	agent-solidity	1	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/unexp.mp4
25.55	2.0	check	0.7458000000119209	check	check	VOE_Exp2	SAXE_NES2_s027	1.0	63870	1.0	False	True	unexp	no	63.0	trial-19	both	infer-constraint	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/agent.png
27.558	5.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s027	n/a	68878	1.0	n/a	n/a	n/a	n/a	63.0	trial-19	n/a	n/a	1	n/a
32.571000000000005	7.5	both_fam	n/a	both_infer-constraint_fam	both_infer-constraint_trial-34-around_fam	VOE_Exp2	SAXE_NES2_s027	n/a	76391	2.0	n/a	n/a	fam	no	45.0	trial-34-around	both	infer-constraint	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/fam.mp4
40.331	7.5	both_exp	n/a	both_infer-constraint_exp	both_infer-constraint_trial-34-around_exp	VOE_Exp2	SAXE_NES2_s027	n/a	84151	2.0	n/a	n/a	exp	no	45.0	trial-34-around	both	infer-constraint	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/exp.mp4
48.094	2.0	check	1.107600000023842	check	check	VOE_Exp2	SAXE_NES2_s027	1.0	86414	2.0	False	True	exp	no	45.0	trial-34-around	both	agent-solidity	1	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/surface.png
50.106	5.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s027	n/a	91426	2.0	n/a	n/a	n/a	n/a	45.0	trial-34-around	n/a	n/a	1	n/a
55.114	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_trial-9-over_fam	VOE_Exp2	SAXE_NES2_s027	n/a	98934	3.0	n/a	n/a	fam	no	53.0	trial-9-over	psychology	efficiency	1	stimuli/VOE/psychology/efficiency_2.3_obstacleattest/trial_9_over/fam.mp4
62.886	7.5	psychology_exp	n/a	psychology_efficiency_exp	psychology_efficiency_trial-9-over_exp	VOE_Exp2	SAXE_NES2_s027	n/a	106706	3.0	n/a	n/a	exp	no	53.0	trial-9-over	psychology	efficiency	1	stimuli/VOE/psychology/efficiency_2.3_obstacleattest/trial_9_over/exp.mp4
70.65799999999999	2.0	check	1.1642999999523165	check	check	VOE_Exp2	SAXE_NES2_s027	1.0	108978	3.0	True	True	exp	no	53.0	trial-9-over	psychology	efficiency	1	stimuli/VOE/psychology/efficiency_2.3_obstacleattest/trial_9_over/surface.png
72.666	9.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s027	n/a	117986	3.0	n/a	n/a	n/a	n/a	53.0	trial-9-over	n/a	n/a	1	n/a
81.67500000000001	7.5	both_fam	n/a	both_infer-constraint_fam	both_infer-constraint_trial-5-over_fam	VOE_Exp2	SAXE_NES2_s027	n/a	125495	4.0	n/a	n/a	fam	no	44.0	trial-5-over	both	infer-constraint	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/fam.mp4
89.44399999999999	7.5	both_unexp	n/a	both_infer-constraint_unexp	both_infer-constraint_trial-5-over_unexp	VOE_Exp2	SAXE_NES2_s027	n/a	133264	4.0	n/a	n/a	unexp	no	44.0	trial-5-over	both	infer-constraint	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/unexp.mp4
97.20600000000002	2.0	check	0.7133999999761581	check	check	VOE_Exp2	SAXE_NES2_s027	1.0	135526	4.0	True	True	unexp	no	44.0	trial-5-over	both	agent-solidity	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/object.png
99.214	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s027	n/a	143534	4.0	n/a	n/a	n/a	n/a	44.0	trial-5-over	n/a	n/a	1	n/a
107.225	7.5	physics_fam	n/a	physics_permanence_fam	physics_permanence_lantern_fam	VOE_Exp2	SAXE_NES2_s027	n/a	151045	5.0	n/a	n/a	fam	no	59.0	lantern	physics	permanence	1	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/lantern/fam.mp4
114.999	7.5	physics_unexp	n/a	physics_permanence_unexp	physics_permanence_lantern_unexp	VOE_Exp2	SAXE_NES2_s027	n/a	158819	5.0	n/a	n/a	unexp	no	59.0	lantern	physics	permanence	1	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/lantern/unexp.mp4
122.765	2.0	check	0.726300000011921	check	check	VOE_Exp2	SAXE_NES2_s027	1.0	161085	5.0	True	True	unexp	no	59.0	lantern	physics	permanence	1	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/lantern/object.png
124.775	6.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s027	n/a	167095	5.0	n/a	n/a	n/a	n/a	59.0	lantern	n/a	n/a	1	n/a
130.78900000000002	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-11_fam	VOE_Exp2	SAXE_NES2_s027	n/a	174609	6.0	n/a	n/a	fam	no	62.0	trial-11	both	agent-solidity	1	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/fam.mp4
138.554	7.5	both_exp	n/a	both_agent-solidity_exp	both_agent-solidity_trial-11_exp	VOE_Exp2	SAXE_NES2_s027	n/a	182374	6.0	n/a	n/a	exp	no	62.0	trial-11	both	agent-solidity	1	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/exp.mp4
146.318	2.0	check	1.1754000000357627	check	check	VOE_Exp2	SAXE_NES2_s027	1.0	184638	6.0	False	True	exp	no	62.0	trial-11	both	infer-constraint	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/agent.png
148.32500000000002	6.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s027	n/a	190645	6.0	n/a	n/a	n/a	n/a	62.0	trial-11	n/a	n/a	1	n/a
154.342	7.5	psychology_fam	n/a	psychology_goal_fam	psychology_goal_trial-1_fam	VOE_Exp2	SAXE_NES2_s027	n/a	198162	7.0	n/a	n/a	fam	no	32.0	trial-1	psychology	goal	1	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_1/fam.mp4
